date,title,description,source
2026-04-20 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-19 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
2026-04-18 17:39:21.152364,Logistics delays expected due to weather,Supply chain disruption observed,Reuters
2026-04-17 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-16 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
2026-04-15 17:39:21.152364,Logistics delays expected due to weather,Supply chain disruption observed,Reuters
2026-04-14 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-13 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
2026-04-12 17:39:21.152364,Logistics delays expected due to weather,Supply chain disruption observed,Reuters
2026-04-11 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-10 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
2026-04-09 17:39:21.152364,Logistics delays expected due to weather,Supply chain disruption observed,Reuters
2026-04-08 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-07 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
2026-04-06 17:39:21.152364,Logistics delays expected due to weather,Supply chain disruption observed,Reuters
2026-04-05 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-04 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
2026-04-03 17:39:21.152364,Logistics delays expected due to weather,Supply chain disruption observed,Reuters
2026-04-02 17:39:21.152364,Factory shutdown impacts semiconductor supply,Supply chain disruption observed,Reuters
2026-04-01 17:39:21.152364,Port strike disrupts shipping in Asia,Supply chain disruption observed,Reuters
